repository,config,mcc
nwoetzel/ansible-role-eclipse,config_1_1,0.22222
nwoetzel/ansible-role-eclipse,config_1_2,0.14907
nwoetzel/ansible-role-eclipse,config_2_0,0.67082
nwoetzel/ansible-role-eclipse,config_2_1,0.67082
nwoetzel/ansible-role-eclipse,config_2_2,0.67082
Oefenweb/ansible-percona-server,config_0_0,0.91212
Oefenweb/ansible-percona-server,config_0_1,0.91212
Oefenweb/ansible-percona-server,config_0_2,0.91212
Oefenweb/ansible-percona-server,config_1_0,0.58871
Oefenweb/ansible-percona-server,config_1_1,0.59904
Oefenweb/ansible-percona-server,config_1_2,0.5991
Oefenweb/ansible-percona-server,config_2_0,0.68749
Oefenweb/ansible-percona-server,config_2_1,0.68749
Oefenweb/ansible-percona-server,config_2_2,0.68749
Oefenweb/ansible-postfix,config_0_0,0.97059
Oefenweb/ansible-postfix,config_0_1,0.97059
